,POWIAT,Hellwig
0,Powiat warszawski zachodni,0.3692
1,Powiat pruszkowski,0.3686
2,Powiat piaseczyński,0.3628
3,Powiat wołomiński,0.2684
4,Powiat legionowski,0.2536
5,Powiat sochaczewski,0.2509
6,Powiat nowodworski,0.2494
7,Powiat miński,0.2303
8,Powiat grodziski,0.2292
9,Powiat otwocki,0.2127
10,Powiat żyrardowski,0.2105
11,Powiat ciechanowski,0.2047
12,Powiat ostrołęcki,0.1898
13,Powiat przasnyski,0.1832
14,Powiat grójecki,0.1750
15,Powiat płoński,0.1721
16,Powiat wyszkowski,0.1694
17,Powiat sokołowski,0.1562
18,Powiat garwoliński,0.1543
19,Powiat płocki,0.1466
20,Powiat mławski,0.1322
21,Powiat kozienicki,0.1257
22,Powiat radomski,0.1240
23,Powiat węgrowski,0.1227
24,Powiat gostyniński,0.1180
25,Powiat ostrowski,0.1130
26,Powiat szydłowiecki,0.1065
27,Powiat sierpecki,0.1037
28,Powiat przysuski,0.1029
29,Powiat żuromiński,0.0864
30,Powiat siedlecki,0.0721
31,Powiat łosicki,0.0562
32,Powiat makowski,0.0414
33,Powiat zwoleński,0.0395
