POWIAT;DOCH;LUDN;PROD;WYN;BEZR;MIESZ;ZIEL;ROW
Powiat ciechanowski;1334,18;84;55778;4967,97;1298;425;38,51;56,9
Powiat garwoliński;1373,11;85;68402;4708,21;2062;503;33,18;8,1
Powiat gostyniński;1557,08;73;28059;4637,28;1047;99;28,26;16,8
Powiat grodziski;1310,15;266;59690;5761,51;406;920;68,00;36,4
Powiat grójecki;1293,5;77;60569;5088,28;387;342;38,85;22,6
Powiat kozienicki;1252,89;65;36928;5467,11;1462;202;23,87;25,8
Powiat legionowski;1077,53;307;74078;5059,53;1146;1610;78,50;95,5
Powiat łosicki;1524,96;40;18718;4486,1;312;66;6,48;4,5
Powiat makowski;1405,53;42;27835;4461,25;1786;99;5,50;2,4
Powiat miński;1205,22;133;96676;4717,21;1345;921;52,84;39,9
Powiat mławski;1523,58;61;46202;4636,34;694;506;3,50;23,5
Powiat nowodworski;931,81;114;49867;6096,33;1023;715;20,70;73,8
Powiat ostrołęcki;1290,89;42;58245;4564,72;1634;369;2,63;243,9
Powiat ostrowski;1466,05;59;45180;4650,41;1273;286;4,90;23,9
Powiat otwocki;1347,95;202;75769;5281,35;886;438;15,98;79,1
Powiat piaseczyński;1638,46;307;118748;5164,71;1223;2563;65,07;62,1
Powiat płocki;1295,47;62;72111;4631,84;2080;406;12,70;58,3
Powiat płoński;1511,86;63;54717;4826,77;1727;317;48,40;25,3
Powiat pruszkowski;1217,41;677;100985;6295,4;1051;2026;105,88;131,2
Powiat przasnyski;1956,12;43;32825;4638,79;970;165;23,80;68,5
Powiat przysuski;2301,14;51;26121;4653,63;1878;99;9,35;4,4
Powiat radomski;1418,97;99;98317;4362,35;4961;641;49,00;32,5
Powiat siedlecki;1097,27;51;51923;4503,92;585;289;5,80;26,6
Powiat sierpecki;1703,11;60;33239;4613,59;1544;193;10,72;7,5
Powiat sochaczewski;1345,29;115;52802;5741,89;525;360;4,42;37
Powiat sokołowski;1884,38;47;32656;4792,94;571;154;10,01;43,2
Powiat szydłowiecki;1447,66;87;25311;4157,78;1939;157;77,90;15,4
Powiat warszawski zachodni;1588,24;225;74355;5990,54;508;1746;92,95;83,1
Powiat węgrowski;1521,56;54;40563;4589,75;789;242;16,10;24,1
Powiat wołomiński;1180,55;265;159485;4997,04;2626;3190;17,38;114
Powiat wyszkowski;1499,9;85;47204;4404,79;317;324;7,50;71,7
Powiat zwoleński;1224,56;63;22752;4508,69;770;113;10,80;3,3
Powiat żuromiński;1588,08;47;24332;4384,3;1258;132;11,90;26,5
Powiat żyrardowski;1494,14;142;46036;5113,05;1550;460;50,60;44,7
